ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,layer,path,net,emig,inmig,CONT,JOIN_ID,NODE,emig_m1,emig_f1,inmig_m1,inming_f1,TP,exoticas,sp_ex,nativas,nat_spp,proporcion,agemean,ntl00mean,ntl21mean,ntl_dif,tempmean,precipanua,imn_p,ntltrendme,ntl_count,ntl_hab
"178",PER,Peru,"15",Lima Province,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,0.000,"0","0",,,,0,0,0,0,9485405.000000000000000,2.000000000000000,1.000000000000000,23.000000000000000,17.000000000000000,0.080000000000000,1542.367643968986840,26.326619150914166,38.570498915401302,12.244,19.041255831459697,96.218077484249150,0.000000000000000,0.668797438205522,2086.000000000000000,"0"
"178",PER,Peru,"7",Callao,Provincia,,,El Callao,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,0.000,"0","0",,,,0,0,0,0,1778080.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,1536.789636230468659,51.016042780748663,56.550802139037437,5.535,18.853174562807435,24.896825386733607,0.000000000000000,0.523039050409125,168.000000000000000,"0"
"53",COL,Colombia,"23",Putumayo,Intendencia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,10361.000,"41","10402",,COL_86,,18,23,5288,5114,401099.000000000058208,3980.000000000000000,1021.000000000000000,1988.000000000000000,782.000000000000000,0.666890080428954,1763.364925670940693,0.247661390716699,1.381042148319402,1.133,23.796065863240560,3810.083673645833187,0.025933747030035,0.106902166654022,198.000000000000000,"0"
"53",COL,Colombia,"2",Antioquia,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,116641.000,"70","116711",,COL_5,,36,34,56605,60106,6296842.999999999068677,299767.000000000058208,2659.000000000000000,26511.000000000000000,2545.000000000000000,0.918747203305157,1627.019869356876143,2.055813078587072,4.281551050022169,2.226,21.903652240133709,3578.292218347276503,0.018534843571612,0.144492655567181,2416.000000000000000,"0"
"53",COL,Colombia,"8",Caldas,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,91938.000,"43","91981",,COL_17,,20,23,45453,46528,991363.000000000000000,7013.000000000000000,1508.000000000000000,2777.000000000000000,813.000000000000000,0.716343207354443,1566.462412451482805,4.814097511541494,6.072964756221146,1.259,19.198475935680385,3073.910668206661740,0.014607478700041,0.097148400037071,303.000000000000000,"0"
"249",VEN,Venezuela,"5",Barinas,,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,47358.000,"2104","49462",,VEN_5,,952,1152,25161,24301,1009125.000000000000000,52.000000000000000,21.000000000000000,550.000000000000000,276.000000000000000,0.086378737541528,1682.295723821783213,1.366895035892160,2.805480861411836,1.439,26.544386131924178,1962.410355345997459,0.081986424551836,0.128059580269174,611.000000000000000,"0"
"28",BOL,Bolivia,"1",Chuquisaca,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,33019.000,"175","33194",,BOL_101,,94,81,18347,14847,581347.000000000000000,3793.000000000000000,926.000000000000000,2253.000000000000000,394.000000000000000,0.627356930201786,1618.640605814776109,0.175108423818418,1.253695906803001,1.079,16.553627917842935,846.554960860577921,0.040084869694587,0.079500614185240,240.000000000000000,"0"
"178",PER,Peru,"19",Moquegua,Región,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,16099.000,"25","16124",,PER_18,,15,10,8408,7716,174863.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,13.000000000000000,0.000000000000000,1549.738212275311298,0.552850603412401,3.311953807740325,2.759,10.358350643937481,367.988271619197690,0.011660989491802,0.147472186427929,574.000000000000000,"0"
"53",COL,Colombia,"21",Nariño,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,16793.000,"42","16835",,COL_52,,21,21,8605,8230,1621984.000000000000000,7209.000000000000000,1351.000000000000000,3436.000000000000000,883.000000000000000,0.677219351808361,1604.505673830626392,1.008451909703648,2.166203059805285,1.158,20.253349036129663,3775.351638430970979,0.010379263913824,0.115040434461358,367.000000000000000,"0"
"68",ECU,Ecuador,"14",Manabi,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,36073.000,"2394","38467",,ECU_13,,1277,1117,22640,15827,1369779.999999999767169,100.000000000000000,44.000000000000000,1678.000000000000000,537.000000000000000,0.056242969628796,1598.769695115579907,2.389200653970218,8.895011267730110,6.506,24.097003424651302,1268.529002096991690,0.010551962524582,0.358604314709710,1827.000000000000000,"0"
